title,source,link
Tariff situation should get sorted out in short term: Salesforce CEO Marc Benioff,Economic Times,https://economictimes.indiatimes.com/tech/technology/tariff-situation-should-get-sorted-out-in-short-term-salesforce-ceo-marc-benioff/articleshow/120289314.cms
Small-town India takes to wealth advisory services in a fresh twist,Economic Times,https://economictimes.indiatimes.com/tech/technology/small-town-india-takes-to-wealth-advisory-services-in-a-fresh-twist/articleshow/120287679.cms
BluSmart's ride into the sunset: Timeline of events at the cab-hailing EV firm,Economic Times,https://economictimes.indiatimes.com/tech/startups/blusmarts-ride-into-the-sunset-timeline-of-events-at-the-cab-hailing-ev-firm/articleshow/120289430.cms
ETtech Explainer: How Ziroh Labs is trying to eliminate expensive GPUs,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/ettech-explainer-how-ziroh-labs-is-trying-to-eliminate-expensive-gpus/articleshow/120289127.cms
GenAI will aid margins despite cannibalisation of productivity gains: TCS CFO,Economic Times,https://economictimes.indiatimes.com/tech/information-tech/genai-will-aid-margins-despite-cannibalisation-of-productivity-gains-tcs-cfo/articleshow/120289033.cms
Can AI Trump tariff turmoil?,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/can-ai-trump-tariff-turmoil/articleshow/120288851.cms
Cashfree appoints Piyush Anchliya from Bandhan AMC as new CFO,Economic Times,https://economictimes.indiatimes.com/tech/startups/cashfree-appoints-piyush-anchliya-from-bandhan-amc-as-new-cfo/articleshow/120288550.cms
"Scoop: Flipkart product, tech head Jeyandran Venugopal may join Reliance Retail Ventures as CEO",Economic Times,https://economictimes.indiatimes.com/tech/technology/scoop-flipkart-product-tech-head-jeyandran-venugopal-may-join-reliance-retail-ventures-as-ceo/articleshow/120288104.cms
"Mark Zuckerberg, serial witness, takes the hot seat again",Economic Times,https://economictimes.indiatimes.com/tech/technology/mark-zuckerberg-serial-witness-takes-the-hot-seat-again/articleshow/120289238.cms
ET Graphics: How geopolitics influences technology,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/et-graphics-how-geopolitics-influences-technology/articleshow/120289192.cms
OpenAI’s Sam Altman calls for new revenue sharing models in GenAI age,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/openais-sam-altman-calls-for-new-revenue-sharing-models-in-genai-age/articleshow/120287942.cms
OpenAI to launch frontier-level open-source model; Sam Altman calls it better than China’s DeepSeek,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-to-launch-frontier-level-open-source-model-ceo-altman-calls-it-better-than-chinas-deepseek/articleshow/120287532.cms
Kraken expands beyond crypto with commission-free trading launch,Economic Times,https://economictimes.indiatimes.com/tech/technology/kraken-expands-beyond-crypto-with-commission-free-trading-launch/articleshow/120284705.cms
OpenAI is preparing to launch new AI models as soon as this week,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-is-preparing-to-launch-new-ai-models-as-soon-as-this-week/articleshow/120284540.cms
OpenAI’s ChatGPT surpasses 800 million users; CEO Altman says 10% of world uses it: Report,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/openais-chatgpt-surpasses-800-million-users-ceo-altman-says-10-of-world-uses-it-report/articleshow/120284454.cms
