Title,Link,Published,Source
Goldman Sachs acquires controlling stake in HR SaaS firm PeopleStrong for $130 million,https://economictimes.indiatimes.com/tech/funding/goldman-sachs-acquires-controlling-stake-in-hr-saas-firm-peoplestrong-for-130-million/articleshow/120311549.cms,"Tue, 15 Apr 2025 17:18:27 +0530",Economic Times
Binance founder Changpeng Zhao to help Pakistan boost crypto trading bid,https://economictimes.indiatimes.com/tech/technology/binance-founder-changpeng-zhao-to-help-pakistan-boost-crypto-trading-bid/articleshow/120308710.cms,"Tue, 15 Apr 2025 15:57:22 +0530",Economic Times
Edtech bonhomie: Unacademy CEO Gaurav Munjal defends IPO-bound PhysicsWallah,https://economictimes.indiatimes.com/tech/startups/unacademy-ceo-gaurav-munjal-stands-by-ipo-bound-physics-wallah-amid-criticism/articleshow/120306739.cms,"Tue, 15 Apr 2025 15:11:32 +0530",Economic Times
ETtech Explainer: Why the US government wants to break up Meta,https://economictimes.indiatimes.com/tech/technology/ettech-explainer-why-the-us-government-wants-to-break-up-meta/articleshow/120306384.cms,"Tue, 15 Apr 2025 14:34:45 +0530",Economic Times
Blinkit to deliver Airtel SIM cards in 10 minutes,https://economictimes.indiatimes.com/tech/technology/blinkit-to-deliver-airtel-sim-cards-in-ten-minutes/articleshow/120305858.cms,"Tue, 15 Apr 2025 14:12:11 +0530",Economic Times
"US moves ahead on tariffs with investigations into computer chips, pharmaceuticals",https://economictimes.indiatimes.com/tech/technology/us-moves-ahead-on-tariffs-with-investigations-into-computer-chips-pharmaceuticals/articleshow/120305225.cms,"Tue, 15 Apr 2025 13:46:29 +0530",Economic Times
PhonePe rolls out UPI Circle for shared payments,https://economictimes.indiatimes.com/tech/technology/phonepe-rolls-out-upi-circle-for-shared-payments/articleshow/120304130.cms,"Tue, 15 Apr 2025 13:02:04 +0530",Economic Times
"Teacher-accreditation edtech startup Centa raises Rs 20 crore from Colossa Ventures, others",https://economictimes.indiatimes.com/tech/funding/teacher-accreditation-edtech-startup-centa-raises-rs-20-crore-from-colossa-ventures-others/articleshow/120304132.cms,"Tue, 15 Apr 2025 13:00:28 +0530",Economic Times
"AI at Google speed: Sundar Pichai reaffirms $75 billion bet on data centres, infrastructure and full-stack innovation",https://economictimes.indiatimes.com/tech/technology/ai-at-google-speed-pichai-reaffirms-75-billion-bet-on-data-centres-infrastructure-and-full-stack-innovation/articleshow/120303412.cms,"Tue, 15 Apr 2025 12:43:20 +0530",Economic Times
"Tax planners, yoga trainers, astrologers: Swiggy launches white-collar services marketplace Pyng",https://economictimes.indiatimes.com/tech/technology/swiggy-launches-services-marketplace-pyng/articleshow/120302940.cms,"Tue, 15 Apr 2025 12:25:08 +0530",Economic Times
"Theatres stare at another weak quarter, PVR Inox likely to report loss in Q4 due to dull content",https://www.moneycontrol.com/news/technology/theatres-stare-at-another-weak-quarter-pvr-inox-likely-to-report-lossq4-due-to-dull-content_17530321.html,"Mon, 22 Apr 2024 15:41:58 +0530",Moneycontrol
"India travel trends: Search for spiritual destinations surges 97%, Delhi scores high in inquiries",https://www.moneycontrol.com/news/technology/india-travel-trends-search-for-spiritual-destinations-surges-97-delhi-scores-highinquiries_17530161.html,"Mon, 22 Apr 2024 14:52:01 +0530",Moneycontrol
